Node	Group	UpBinRatio
APOBEC1	g2	0.5
APOBEC2	g1	0.5
APOBEC2	g2	1
APOBEC3A	g1	0
APOBEC3A	g2	1
APOBEC3B	g1	1
APOBEC3B	g2	0.5
APOBEC3C	g1	1
APOBEC3C	g2	0.5
APOBEC3F	g1	1
APOBEC3F	g2	0.6666666666666666
APOBEC3G	g1	1
APOBEC3G	g2	0.5
APOBR	g1	0
APOBR	g2	1
APOC1	g1	0
APOC1	g2	1
APOC2	g1	0
APOC2	g2	1
APOC3	g1	1
APOC3	g2	0.6666666666666666
APOC4	g1	1
APOC4	g2	0.5
APOD	g1	0.5
APOD	g2	1
APOE	g1	0
APOE	g2	1
APOF	g1	1
APOF	g2	0.5
APOH	g1	0.5
APOH	g2	1
APOL1	g1	0.5
APOL1	g2	1
APOL2	g1	1
APOL2	g2	0.6666666666666666
APOL3	g1	0.5
APOL3	g2	1
APOL5	g1	1
APOL5	g2	0.5
APOL6	g1	0.5
APOL6	g2	1
APOLD1	g1	0.5
APOLD1	g2	1
APOM	g1	1
APOM	g2	0.5
APOO	g1	1
APOO	g2	0.6666666666666666
APOOL	g1	1
APOOL	g2	0.6666666666666666
APP	g1	0.5
APP	g2	1
APPBP2	g1	1
APPBP2	g2	0.6666666666666666
APPL1	g1	1
APPL1	g2	0.5
APPL2	g1	0.5
APPL2	g2	1
APRT	g1	1
APRT	g2	0.5
APTX	g1	1
APTX	g2	0.5
AQP1	g1	1
AQP1	g2	0.5
AQP2	g1	1
AQP2	g2	0.5
AQP3	g1	1
AQP3	g2	0.5
AQP4	g1	1
AQP4	g2	0.5
AQP6	g1	0.5
AQP6	g2	1
